1f600,GRINNING FACE
1f630,FACE WITH OPEN MOUTH AND COLD SWEAT
1f631,FACE SCREAMING IN FEAR
1f633,FLUSHED FACE
1f635,DIZZY FACE
1f621,POUTING FACE
1f620,ANGRY FACE
1f607,SMILING FACE WITH HALO
1f637,FACE WITH MEDICAL MASK
1f912,FACE WITH THERMOMETER
1f915,FACE WITH HEAD-BANDAGE
1f608,SMILING FACE WITH HORNS
1f47f,IMP
1f479,JAPANESE OGRE<br>≊ ogre
1f47a,JAPANESE GOBLIN<br>≊ goblin
1f480,SKULL
2620,SKULL AND CROSSBONES
1f47b,GHOST
1f47d,EXTRATERRESTRIAL ALIEN<br>≊ alien
1f47e,ALIEN MONSTER
1f916,ROBOT FACE
1f4a9,PILE OF POO
1f63a,SMILING CAT FACE WITH OPEN MOUTH
1f638,GRINNING CAT FACE WITH SMILING EYES
1f639,CAT FACE WITH TEARS OF JOY
1f63b,SMILING CAT FACE WITH HEART-SHAPED EYES
1f63c,CAT FACE WITH WRY SMILE
1f63d,KISSING CAT FACE WITH CLOSED EYES
1f640,WEARY CAT FACE
1f63f,CRYING CAT FACE
1f63e,POUTING CAT FACE
1f648,SEE-NO-EVIL MONKEY<br>≊ see-no-evil
1f649,HEAR-NO-EVIL MONKEY<br>≊ hear-no-evil
1f64a,SPEAK-NO-EVIL MONKEY<br>≊ speak-no-evil
1f466,BOY
1f466_1f3fb,Boy, type-1-2
1f466_1f3fc,Boy, type-3
1f466_1f3fd,Boy, type-4
1f466_1f3fe,Boy, type-5
1f466_1f3ff,Boy, type-6
1f467,GIRL
1f467_1f3fb,Girl, type-1-2
1f467_1f3fc,Girl, type-3
1f467_1f3fd,Girl, type-4
1f467_1f3fe,Girl, type-5
1f467_1f3ff,Girl, type-6
1f468,MAN
1f468_1f3fb,Man, type-1-2
1f468_1f3fc,Man, type-3
1f468_1f3fd,Man, type-4
1f468_1f3fe,Man, type-5
1f468_1f3ff,Man, type-6
1f469,WOMAN
1f469_1f3fb,Woman, type-1-2
1f469_1f3fc,Woman, type-3
1f469_1f3fd,Woman, type-4
1f469_1f3fe,Woman, type-5
1f469_1f3ff,Woman, type-6
1f474,OLDER MAN<br>≊ old man
1f474_1f3fb,Older man, type-1-2
1f474_1f3fc,Older man, type-3
1f474_1f3fd,Older man, type-4
1f474_1f3fe,Older man, type-5
1f474_1f3ff,Older man, type-6
1f475,OLDER WOMAN<br>≊ old woman
1f475_1f3fb,Older woman, type-1-2
1f475_1f3fc,Older woman, type-3
1f475_1f3fd,Older woman, type-4
1f475_1f3fe,Older woman, type-5
1f475_1f3ff,Older woman, type-6
1f476,BABY
1f476_1f3fb,Baby, type-1-2
1f476_1f3fc,Baby, type-3
1f476_1f3fd,Baby, type-4
1f476_1f3fe,Baby, type-5
1f476_1f3ff,Baby, type-6
1f47c,BABY ANGEL
1f47c_1f3fb,Baby angel, type-1-2
1f47c_1f3fc,Baby angel, type-3
1f47c_1f3fd,Baby angel, type-4
1f47c_1f3fe,Baby angel, type-5
1f47c_1f3ff,Baby angel, type-6
1f471,PERSON WITH BLOND HAIR
1f471_1f3fb,Person with blond hair, type-1-2
1f471_1f3fc,Person with blond hair, type-3
1f471_1f3fd,Person with blond hair, type-4
1f471_1f3fe,Person with blond hair, type-5
1f471_1f3ff,Person with blond hair, type-6
1f46e,POLICE OFFICER
1f46e_1f3fb,Police officer, type-1-2
1f46e_1f3fc,Police officer, type-3
1f46e_1f3fd,Police officer, type-4
1f46e_1f3fe,Police officer, type-5
1f46e_1f3ff,Police officer, type-6
1f472,MAN WITH GUA PI MAO<br>≊ man with chinese cap
1f472_1f3fb,Man with gua pi mao, type-1-2
1f472_1f3fc,Man with gua pi mao, type-3
1f472_1f3fd,Man with gua pi mao, type-4
1f472_1f3fe,Man with gua pi mao, type-5
1f472_1f3ff,Man with gua pi mao, type-6
1f473,MAN WITH TURBAN
1f473_1f3fb,Man with turban, type-1-2
1f473_1f3fc,Man with turban, type-3
1f473_1f3fd,Man with turban, type-4
1f473_1f3fe,Man with turban, type-5
1f473_1f3ff,Man with turban, type-6
1f477,CONSTRUCTION WORKER
1f477_1f3fb,Construction worker, type-1-2
1f477_1f3fc,Construction worker, type-3
1f477_1f3fd,Construction worker, type-4
1f477_1f3fe,Construction worker, type-5
1f477_1f3ff,Construction worker, type-6
1f478,PRINCESS
1f478_1f3fb,Princess, type-1-2
1f478_1f3fc,Princess, type-3
1f478_1f3fd,Princess, type-4
1f478_1f3fe,Princess, type-5
1f478_1f3ff,Princess, type-6
1f482,GUARDSMAN
1f482_1f3fb,Guardsman, type-1-2
1f482_1f3fc,Guardsman, type-3
1f482_1f3fd,Guardsman, type-4
1f482_1f3fe,Guardsman, type-5
1f482_1f3ff,Guardsman, type-6
1f575,SLEUTH OR SPY<br>≊ detective
1f575_1f3fb,Sleuth or spy, type-1-2
1f575_1f3fc,Sleuth or spy, type-3
1f575_1f3fd,Sleuth or spy, type-4
1f575_1f3fe,Sleuth or spy, type-5
1f575_1f3ff,Sleuth or spy, type-6
1f385,FATHER CHRISTMAS<br>≊ santa claus
1f385_1f3fb,Father christmas, type-1-2
1f385_1f3fc,Father christmas, type-3
1f385_1f3fd,Father christmas, type-4
1f385_1f3fe,Father christmas, type-5
1f385_1f3ff,Father christmas, type-6
1f470,BRIDE WITH VEIL
1f470_1f3fb,Bride with veil, type-1-2
1f470_1f3fc,Bride with veil, type-3
1f470_1f3fd,Bride with veil, type-4
1f470_1f3fe,Bride with veil, type-5
1f470_1f3ff,Bride with veil, type-6
1f486,FACE MASSAGE
1f486_1f3fb,Face massage, type-1-2
1f486_1f3fc,Face massage, type-3
1f486_1f3fd,Face massage, type-4
1f486_1f3fe,Face massage, type-5
1f486_1f3ff,Face massage, type-6
1f487,HAIRCUT
1f487_1f3fb,Haircut, type-1-2
1f487_1f3fc,Haircut, type-3
1f487_1f3fd,Haircut, type-4
1f487_1f3fe,Haircut, type-5
1f487_1f3ff,Haircut, type-6
1f64d,PERSON FROWNING
1f64d_1f3fb,Person frowning, type-1-2
1f64d_1f3fc,Person frowning, type-3
1f64d_1f3fd,Person frowning, type-4
1f64d_1f3fe,Person frowning, type-5
1f64d_1f3ff,Person frowning, type-6
1f64e,PERSON WITH POUTING FACE<br>≊ person pouting
1f64e_1f3fb,Person with pouting face, type-1-2
1f64e_1f3fc,Person with pouting face, type-3
1f64e_1f3fd,Person with pouting face, type-4
1f64e_1f3fe,Person with pouting face, type-5
1f64e_1f3ff,Person with pouting face, type-6
1f645,FACE WITH NO GOOD GESTURE<br>≊ gesturing no
1f645_1f3fb,Face with no good gesture, type-1-2
1f645_1f3fc,Face with no good gesture, type-3
1f645_1f3fd,Face with no good gesture, type-4
1f645_1f3fe,Face with no good gesture, type-5
1f645_1f3ff,Face with no good gesture, type-6
1f646,FACE WITH OK GESTURE<br>≊ gesturing ok
1f646_1f3fb,Face with ok gesture, type-1-2
1f646_1f3fc,Face with ok gesture, type-3
1f646_1f3fd,Face with ok gesture, type-4
1f646_1f3fe,Face with ok gesture, type-5
1f646_1f3ff,Face with ok gesture, type-6
1f481,INFORMATION DESK PERSON
1f481_1f3fb,Information desk person, type-1-2
1f481_1f3fc,Information desk person, type-3
1f481_1f3fd,Information desk person, type-4
1f481_1f3fe,Information desk person, type-5
1f481_1f3ff,Information desk person, type-6
1f64b,HAPPY PERSON RAISING ONE HAND<br>≊ happy person raising hand
1f64b_1f3fb,Happy person raising one hand, type-1-2
1f64b_1f3fc,Happy person raising one hand, type-3
1f64b_1f3fd,Happy person raising one hand, type-4
1f64b_1f3fe,Happy person raising one hand, type-5
1f64b_1f3ff,Happy person raising one hand, type-6
1f647,PERSON BOWING DEEPLY<br>≊ person bowing
1f647_1f3fb,Person bowing deeply, type-1-2
1f647_1f3fc,Person bowing deeply, type-3
1f647_1f3fd,Person bowing deeply, type-4
1f647_1f3fe,Person bowing deeply, type-5
1f647_1f3ff,Person bowing deeply, type-6
1f6b6,PEDESTRIAN
1f6b6_1f3fb,Pedestrian, type-1-2
1f6b6_1f3fc,Pedestrian, type-3
1f6b6_1f3fd,Pedestrian, type-4
1f6b6_1f3fe,Pedestrian, type-5
1f6b6_1f3ff,Pedestrian, type-6
1f3c3,RUNNER
1f3c3_1f3fb,Runner, type-1-2
1f3c3_1f3fc,Runner, type-3
1f3c3_1f3fd,Runner, type-4
1f3c3_1f3fe,Runner, type-5
1f3c3_1f3ff,Runner, type-6
1f483,DANCER
1f483_1f3fb,Dancer, type-1-2
1f483_1f3fc,Dancer, type-3
1f483_1f3fd,Dancer, type-4
1f483_1f3fe,Dancer, type-5
1f483_1f3ff,Dancer, type-6
1f46f,WOMAN WITH BUNNY EARS<br>≊ women partying
1f574,MAN IN BUSINESS SUIT LEVITATING
1f5e3,SPEAKING HEAD IN SILHOUETTE<br>≊ speaking head
1f464,BUST IN SILHOUETTE
1f465,BUSTS IN SILHOUETTE
1f46b,MAN AND WOMAN HOLDING HANDS
1f46c,TWO MEN HOLDING HANDS
1f46d,TWO WOMEN HOLDING HANDS
1f48f,KISS
1f469_200d_2764_fe0f_200d_1f48b_200d_1f468,Kiss: WOMAN, MAN
1f468_200d_2764_fe0f_200d_1f48b_200d_1f468,Kiss: MAN, MAN
1f469_200d_2764_fe0f_200d_1f48b_200d_1f469,Kiss: WOMAN, WOMAN
1f491,COUPLE WITH HEART
1f469_200d_2764_fe0f_200d_1f468,Couple with heart: WOMAN, MAN
1f468_200d_2764_fe0f_200d_1f468,Couple with heart: MAN, MAN
1f469_200d_2764_fe0f_200d_1f469,Couple with heart: WOMAN, WOMAN
1f46a,FAMILY
1f468_200d_1f469_200d_1f466,Family: MAN, WOMAN, BOY
1f468_200d_1f469_200d_1f467,Family: MAN, WOMAN, GIRL
1f468_200d_1f469_200d_1f467_200d_1f466,Family: MAN, WOMAN, GIRL, BOY
1f468_200d_1f469_200d_1f466_200d_1f466,Family: MAN, WOMAN, BOY, BOY
1f468_200d_1f469_200d_1f467_200d_1f467,Family: MAN, WOMAN, GIRL, GIRL
1f468_200d_1f468_200d_1f466,Family: MAN, MAN, BOY
1f468_200d_1f468_200d_1f467,Family: MAN, MAN, GIRL
1f468_200d_1f468_200d_1f467_200d_1f466,Family: MAN, MAN, GIRL, BOY
1f468_200d_1f468_200d_1f466_200d_1f466,Family: MAN, MAN, BOY, BOY
1f468_200d_1f468_200d_1f467_200d_1f467,Family: MAN, MAN, GIRL, GIRL
1f469_200d_1f469_200d_1f466,Family: WOMAN, WOMAN, BOY
1f469_200d_1f469_200d_1f467,Family: WOMAN, WOMAN, GIRL
1f469_200d_1f469_200d_1f467_200d_1f466,Family: WOMAN, WOMAN, GIRL, BOY
1f469_200d_1f469_200d_1f466_200d_1f466,Family: WOMAN, WOMAN, BOY, BOY
1f469_200d_1f469_200d_1f467_200d_1f467,Family: WOMAN, WOMAN, GIRL, GIRL
1f3fb,EMOJI MODIFIER FITZPATRICK TYPE-1-2<br>≊ skin type-1-2
1f3fc,EMOJI MODIFIER FITZPATRICK TYPE-3<br>≊ skin type-3
1f3fd,EMOJI MODIFIER FITZPATRICK TYPE-4<br>≊ skin type-4
1f3fe,EMOJI MODIFIER FITZPATRICK TYPE-5<br>≊ skin type-5
1f3ff,EMOJI MODIFIER FITZPATRICK TYPE-6<br>≊ skin type-6
1f4aa,FLEXED BICEPS
1f4aa_1f3fb,Flexed biceps, type-1-2
1f4aa_1f3fc,Flexed biceps, type-3
1f4aa_1f3fd,Flexed biceps, type-4
1f4aa_1f3fe,Flexed biceps, type-5
1f4aa_1f3ff,Flexed biceps, type-6
1f448,WHITE LEFT POINTING BACKHAND INDEX<br>≊ backhand index pointing left
1f448_1f3fb,White left pointing backhand index, type-1-2
1f448_1f3fc,White left pointing backhand index, type-3
1f448_1f3fd,White left pointing backhand index, type-4
1f448_1f3fe,White left pointing backhand index, type-5
1f448_1f3ff,White left pointing backhand index, type-6
1f449,WHITE RIGHT POINTING BACKHAND INDEX<br>≊ backhand index pointing right
1f449_1f3fb,White right pointing backhand index, type-1-2
1f449_1f3fc,White right pointing backhand index, type-3
1f449_1f3fd,White right pointing backhand index, type-4
1f449_1f3fe,White right pointing backhand index, type-5
1f449_1f3ff,White right pointing backhand index, type-6
261d,WHITE UP POINTING INDEX<br>≊ index pointing up
261d_1f3fb,White up pointing index, type-1-2
261d_1f3fc,White up pointing index, type-3
261d_1f3fd,White up pointing index, type-4
261d_1f3fe,White up pointing index, type-5
261d_1f3ff,White up pointing index, type-6
1f446,WHITE UP POINTING BACKHAND INDEX<br>≊ backhand index pointing up
1f446_1f3fb,White up pointing backhand index, type-1-2
1f446_1f3fc,White up pointing backhand index, type-3
1f446_1f3fd,White up pointing backhand index, type-4
1f446_1f3fe,White up pointing backhand index, type-5
1f446_1f3ff,White up pointing backhand index, type-6
1f595,REVERSED HAND WITH MIDDLE FINGER EXTENDED<br>≊ middle finger
1f595_1f3fb,Reversed hand with middle finger extended, type-1-2
1f595_1f3fc,Reversed hand with middle finger extended, type-3
1f595_1f3fd,Reversed hand with middle finger extended, type-4
1f595_1f3fe,Reversed hand with middle finger extended, type-5
1f595_1f3ff,Reversed hand with middle finger extended, type-6
1f447,WHITE DOWN POINTING BACKHAND INDEX<br>≊ backhand index pointing down
1f447_1f3fb,White down pointing backhand index, type-1-2
1f447_1f3fc,White down pointing backhand index, type-3
1f447_1f3fd,White down pointing backhand index, type-4
1f447_1f3fe,White down pointing backhand index, type-5
1f447_1f3ff,White down pointing backhand index, type-6
270c,VICTORY HAND
270c_1f3fb,Victory hand, type-1-2
270c_1f3fc,Victory hand, type-3
270c_1f3fd,Victory hand, type-4
270c_1f3fe,Victory hand, type-5
270c_1f3ff,Victory hand, type-6
1f596,RAISED HAND WITH PART BETWEEN MIDDLE AND RING FINGERS<br>≊ vulcan salute
1f596_1f3fb,Raised hand with part between middle and ring fingers, type-1-2
1f596_1f3fc,Raised hand with part between middle and ring fingers, type-3
1f596_1f3fd,Raised hand with part between middle and ring fingers, type-4
1f596_1f3fe,Raised hand with part between middle and ring fingers, type-5
1f596_1f3ff,Raised hand with part between middle and ring fingers, type-6
1f918,SIGN OF THE HORNS
1f918_1f3fb,Sign of the horns, type-1-2
1f918_1f3fc,Sign of the horns, type-3
1f918_1f3fd,Sign of the horns, type-4
1f918_1f3fe,Sign of the horns, type-5
1f918_1f3ff,Sign of the horns, type-6
1f590,RAISED HAND WITH FINGERS SPLAYED
1f590_1f3fb,Raised hand with fingers splayed, type-1-2
1f590_1f3fc,Raised hand with fingers splayed, type-3
1f590_1f3fd,Raised hand with fingers splayed, type-4
1f590_1f3fe,Raised hand with fingers splayed, type-5
1f590_1f3ff,Raised hand with fingers splayed, type-6
270b,RAISED HAND
270b_1f3fb,Raised hand, type-1-2
270b_1f3fc,Raised hand, type-3
270b_1f3fd,Raised hand, type-4
270b_1f3fe,Raised hand, type-5
270b_1f3ff,Raised hand, type-6
1f44c,OK HAND SIGN<br>≊ ok hand
1f44c_1f3fb,Ok hand sign, type-1-2
1f44c_1f3fc,Ok hand sign, type-3
1f44c_1f3fd,Ok hand sign, type-4
1f44c_1f3fe,Ok hand sign, type-5
1f44c_1f3ff,Ok hand sign, type-6
1f44d,THUMBS UP SIGN<br>≊ thumbs up
1f44d_1f3fb,Thumbs up sign, type-1-2
1f44d_1f3fc,Thumbs up sign, type-3
1f44d_1f3fd,Thumbs up sign, type-4
1f44d_1f3fe,Thumbs up sign, type-5
1f44d_1f3ff,Thumbs up sign, type-6
1f44e,THUMBS DOWN SIGN<br>≊ thumbs down
1f44e_1f3fb,Thumbs down sign, type-1-2
1f44e_1f3fc,Thumbs down sign, type-3
1f44e_1f3fd,Thumbs down sign, type-4
1f44e_1f3fe,Thumbs down sign, type-5
1f44e_1f3ff,Thumbs down sign, type-6
270a,RAISED FIST
270a_1f3fb,Raised fist, type-1-2
270a_1f3fc,Raised fist, type-3
270a_1f3fd,Raised fist, type-4
270a_1f3fe,Raised fist, type-5
270a_1f3ff,Raised fist, type-6
1f44a,FISTED HAND SIGN<br>≊ oncoming fist
1f44a_1f3fb,Fisted hand sign, type-1-2
1f44a_1f3fc,Fisted hand sign, type-3
1f44a_1f3fd,Fisted hand sign, type-4
1f44a_1f3fe,Fisted hand sign, type-5
1f44a_1f3ff,Fisted hand sign, type-6
1f44b,WAVING HAND SIGN<br>≊ waving hand
1f44b_1f3fb,Waving hand sign, type-1-2
1f44b_1f3fc,Waving hand sign, type-3
1f44b_1f3fd,Waving hand sign, type-4
1f44b_1f3fe,Waving hand sign, type-5
1f44b_1f3ff,Waving hand sign, type-6
1f44f,CLAPPING HANDS SIGN<br>≊ clapping hands
1f44f_1f3fb,Clapping hands sign, type-1-2
1f44f_1f3fc,Clapping hands sign, type-3
1f44f_1f3fd,Clapping hands sign, type-4
1f44f_1f3fe,Clapping hands sign, type-5
1f44f_1f3ff,Clapping hands sign, type-6
270d,WRITING HAND
270d_1f3fb,Writing hand, type-1-2
270d_1f3fc,Writing hand, type-3
270d_1f3fd,Writing hand, type-4
270d_1f3fe,Writing hand, type-5
270d_1f3ff,Writing hand, type-6
1f450,OPEN HANDS SIGN<br>≊ open hands
1f450_1f3fb,Open hands sign, type-1-2
1f450_1f3fc,Open hands sign, type-3
1f450_1f3fd,Open hands sign, type-4
1f450_1f3fe,Open hands sign, type-5
1f450_1f3ff,Open hands sign, type-6
1f64c,PERSON RAISING BOTH HANDS IN CELEBRATION<br>≊ person raising hands
1f64c_1f3fb,Person raising both hands in celebration, type-1-2
1f64c_1f3fc,Person raising both hands in celebration, type-3
1f64c_1f3fd,Person raising both hands in celebration, type-4
1f64c_1f3fe,Person raising both hands in celebration, type-5
1f64c_1f3ff,Person raising both hands in celebration, type-6
1f64f,PERSON WITH FOLDED HANDS<br>≊ folded hands
1f64f_1f3fb,Person with folded hands, type-1-2
1f64f_1f3fc,Person with folded hands, type-3
1f64f_1f3fd,Person with folded hands, type-4
1f64f_1f3fe,Person with folded hands, type-5
1f64f_1f3ff,Person with folded hands, type-6
1f485,NAIL POLISH
1f485_1f3fb,Nail polish, type-1-2
1f485_1f3fc,Nail polish, type-3
1f485_1f3fd,Nail polish, type-4
1f485_1f3fe,Nail polish, type-5
1f485_1f3ff,Nail polish, type-6
1f442,EAR
1f442_1f3fb,Ear, type-1-2
1f442_1f3fc,Ear, type-3
1f442_1f3fd,Ear, type-4
1f442_1f3fe,Ear, type-5
1f442_1f3ff,Ear, type-6
1f443,NOSE
1f443_1f3fb,Nose, type-1-2
1f443_1f3fc,Nose, type-3
1f443_1f3fd,Nose, type-4
1f443_1f3fe,Nose, type-5
1f443_1f3ff,Nose, type-6
1f463,FOOTPRINTS
1f440,EYES
1f441,EYE
1f441_200d_1f5e8,EYE, LEFT SPEECH BUBBLE<br>≊ eye in speech bubble
1f445,TONGUE
1f444,MOUTH
1f48b,KISS MARK
1f498,HEART WITH ARROW
2764,HEAVY BLACK HEART<br>≊ red heart
1f493,BEATING HEART
1f494,BROKEN HEART
1f495,TWO HEARTS
1f496,SPARKLING HEART
1f497,GROWING HEART
1f499,BLUE HEART
1f49a,GREEN HEART
1f49b,YELLOW HEART
1f49c,PURPLE HEART
1f49d,HEART WITH RIBBON
1f49e,REVOLVING HEARTS
1f49f,HEART DECORATION
2763,HEAVY HEART EXCLAMATION MARK ORNAMENT
1f48c,LOVE LETTER
1f4a4,SLEEPING SYMBOL<br>≊ zzz
1f4a2,ANGER SYMBOL
1f4a3,BOMB
1f4a5,COLLISION SYMBOL<br>≊ collision
1f4a6,SPLASHING SWEAT SYMBOL<br>≊ sweat droplets
1f4a8,DASH SYMBOL<br>≊ dashing
1f4ab,DIZZY SYMBOL<br>≊ dizzy
1f4ac,SPEECH BALLOON
1f5e8,LEFT SPEECH BUBBLE
1f5ef,RIGHT ANGER BUBBLE
1f4ad,THOUGHT BALLOON
1f573,HOLE
1f453,EYEGLASSES<br>≊ glasses
1f576,DARK SUNGLASSES<br>≊ sunglasses
1f454,NECKTIE
1f455,T-SHIRT
1f456,JEANS
1f457,DRESS
1f458,KIMONO
1f459,BIKINI
1f45a,WOMANS CLOTHES<br>≊ woman’s clothes
1f45b,PURSE
1f45c,HANDBAG
1f45d,POUCH
1f6cd,SHOPPING BAGS
1f392,SCHOOL SATCHEL<br>≊ school backpack
1f45e,MANS SHOE<br>≊ man’s shoe
1f45f,ATHLETIC SHOE<br>≊ running shoe
1f460,HIGH-HEELED SHOE
1f461,WOMANS SANDAL<br>≊ woman’s sandal
1f462,WOMANS BOOTS<br>≊ woman’s boot
1f451,CROWN
1f452,WOMANS HAT<br>≊ woman’s hat
1f3a9,TOP HAT
1f393,GRADUATION CAP
26d1,HELMET WITH WHITE CROSS
1f4ff,PRAYER BEADS
1f484,LIPSTICK
1f48d,RING
1f48e,GEM STONE
1f435,MONKEY FACE
1f412,MONKEY
1f436,DOG FACE
1f415,DOG
1f429,POODLE
1f43a,WOLF FACE
1f431,CAT FACE
1f408,CAT
1f981,LION FACE
1f42f,TIGER FACE
1f405,TIGER
1f406,LEOPARD
1f434,HORSE FACE
1f40e,HORSE
1f984,UNICORN FACE
1f42e,COW FACE
1f402,OX
1f403,WATER BUFFALO
1f404,COW
1f437,PIG FACE
1f416,PIG
1f417,BOAR
1f43d,PIG NOSE
1f40f,RAM
1f411,SHEEP
1f410,GOAT
1f42a,DROMEDARY CAMEL<br>≊ camel
1f42b,BACTRIAN CAMEL<br>≊ two-hump camel
1f418,ELEPHANT
1f42d,MOUSE FACE
1f401,MOUSE
1f400,RAT
1f439,HAMSTER FACE
1f430,RABBIT FACE
1f407,RABBIT
1f43f,CHIPMUNK
1f43b,BEAR FACE
1f428,KOALA
1f43c,PANDA FACE
1f43e,PAW PRINTS
1f983,TURKEY
1f414,CHICKEN
1f413,ROOSTER
1f423,HATCHING CHICK
1f424,BABY CHICK
1f425,FRONT-FACING BABY CHICK
1f426,BIRD
1f427,PENGUIN
1f54a,DOVE OF PEACE<br>≊ dove
1f438,FROG FACE
1f40a,CROCODILE
1f422,TURTLE
1f40d,SNAKE
1f432,DRAGON FACE
1f409,DRAGON
1f433,SPOUTING WHALE
1f40b,WHALE
1f42c,DOLPHIN
1f41f,FISH
1f420,TROPICAL FISH
1f421,BLOWFISH
1f419,OCTOPUS
1f41a,SPIRAL SHELL
1f980,CRAB
1f40c,SNAIL
1f41b,BUG
1f41c,ANT
1f41d,HONEYBEE
1f41e,LADY BEETLE
1f577,SPIDER
1f578,SPIDER WEB
1f982,SCORPION
1f490,BOUQUET
1f338,CHERRY BLOSSOM
1f4ae,WHITE FLOWER
1f3f5,ROSETTE
1f339,ROSE
1f33a,HIBISCUS
1f33b,SUNFLOWER
1f33c,BLOSSOM
1f337,TULIP
1f331,SEEDLING
1f332,EVERGREEN TREE<br>≊ evergreen
1f333,DECIDUOUS TREE
1f334,PALM TREE
1f335,CACTUS
1f33e,EAR OF RICE<br>≊ sheaf of rice
1f33f,HERB
2618,SHAMROCK
1f340,FOUR LEAF CLOVER
1f341,MAPLE LEAF
1f342,FALLEN LEAF
1f343,LEAF FLUTTERING IN WIND
1f347,GRAPES
1f348,MELON
1f349,WATERMELON
1f34a,TANGERINE
1f34b,LEMON
1f34c,BANANA
1f34d,PINEAPPLE
1f34e,RED APPLE
1f34f,GREEN APPLE
1f350,PEAR
1f351,PEACH
1f352,CHERRIES
1f353,STRAWBERRY
1f345,TOMATO
1f346,AUBERGINE<br>≊ eggplant
1f33d,EAR OF MAIZE<br>≊ ear of corn
1f336,HOT PEPPER
1f344,MUSHROOM
1f330,CHESTNUT
1f35e,BREAD
1f9c0,CHEESE WEDGE
1f356,MEAT ON BONE
1f357,POULTRY LEG
1f354,HAMBURGER
1f35f,FRENCH FRIES
1f355,SLICE OF PIZZA<br>≊ pizza
1f32d,HOT DOG
1f32e,TACO
1f32f,BURRITO
1f373,COOKING
1f372,POT OF FOOD
1f37f,POPCORN
1f371,BENTO BOX
1f358,RICE CRACKER
1f359,RICE BALL
1f35a,COOKED RICE
1f35b,CURRY AND RICE<br>≊ curry rice
1f35c,STEAMING BOWL
1f35d,SPAGHETTI
1f360,ROASTED SWEET POTATO
1f362,ODEN
1f363,SUSHI
1f364,FRIED SHRIMP
1f365,FISH CAKE WITH SWIRL DESIGN<br>≊ fish cake with swirl
1f361,DANGO
1f366,SOFT ICE CREAM
1f367,SHAVED ICE
1f368,ICE CREAM
1f369,DOUGHNUT
1f36a,COOKIE
1f382,BIRTHDAY CAKE
1f370,SHORTCAKE
1f36b,CHOCOLATE BAR
1f36c,CANDY
1f36d,LOLLIPOP
1f36e,CUSTARD
1f36f,HONEY POT
1f37c,BABY BOTTLE
2615,HOT BEVERAGE
1f375,TEACUP WITHOUT HANDLE
1f376,SAKE BOTTLE AND CUP<br>≊ sake
1f37e,BOTTLE WITH POPPING CORK
1f377,WINE GLASS
1f378,COCKTAIL GLASS
1f379,TROPICAL DRINK
1f37a,BEER MUG
1f37b,CLINKING BEER MUGS
1f37d,FORK AND KNIFE WITH PLATE
1f374,FORK AND KNIFE
1f52a,HOCHO<br>≊ kitchen knife
1f3fa,AMPHORA
1f30d,EARTH GLOBE EUROPE-AFRICA<br>≊ globe showing europe-africa
1f30e,EARTH GLOBE AMERICAS<br>≊ globe showing americas
1f30f,EARTH GLOBE ASIA-AUSTRALIA<br>≊ globe showing asia-australia
1f310,GLOBE WITH MERIDIANS
1f5fa,WORLD MAP
